ville_id,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
35915,92,asnieres-sur-seine,ASNIERES-SUR-SEINE,asnieres sur seine,Asnières-sur-Seine,A2562625,ASNRSSRSN,92600,4,92004,2,88,5,82327,75832,81700,17080,4.82,2.28556,48.9112,-57,54346,21708,485440,22,43
35916,92,colombes,COLOMBES,colombes,Colombes,C4512,KLMS,92700,25,92025,2,92,5,85398,76690,83700,10934,7.81,2.25,48.9167,-94,54360,21508,485525,23,44
35917,92,fontenay-aux-roses,FONTENAY-AUX-ROSES,fontenay aux roses,Fontenay-aux-Roses,F535262,FNTNKSRSS,92260,32,92032,1,43,5,23351,23547,24100,9303,2.51,2.28333,48.7833,-57,54210,21708,484721,58,164
35918,92,garches,GARCHES,garches,Garches,G620,KRXS,92380,33,92033,2,18,5,18169,18026,18200,6754,2.69,2.18333,48.8417,-166,54273,21113,485044,98,164
35919,92,villeneuve-la-garenne,VILLENEUVE-LA-GARENNE,villeneuve la garenne,Villeneuve-la-Garenne,V4514265,FLNFLKRN,92390,78,92078,2,40,5,25183,22308,24700,7869,3.2,2.33333,48.9333,-10,54375,21940,485614,22,31
35920,92,courbevoie,COURBEVOIE,courbevoie,Courbevoie,C610,KRBF,92400,26,92026,2,93,5,87469,69665,85100,20975,4.17,2.25222,48.8973,-94,54330,21508,485350,25,56
36024,95,baillet-en-france,BAILLET-EN-FRANCE,baillet en france,Baillet-en-France,B4351652,BLTNFRNS,95560,42,95042,2,26,6,1955,1708,1900,247,7.91,2.3,49.0667,-41,54514,21758,490344,85,151
36025,95,osny,OSNY,osny,Osny,O250,OSN,95520,476,95476,3,29,6,16236,14300,15900,1296,12.52,2.06667,49.0667,-304,54510,20345,490333,27,102
36026,95,hodent,HODENT,hodent,Hodent,H353,HTNT,95420,309,95309,3,16,6,250,267,300,57,4.37,1.76667,49.15,-632,54605,14603,490839,49,140
36027,95,montreuil-sur-epte,MONTREUIL-SUR-EPTE,montreuil sur epte,Montreuil-sur-Epte,M3642613,MNTRLSRPT,95770,429,95429,3,16,6,443,350,400,61,7.15,1.68333,49.1833,-731,54641,14042,491035,27,157
36028,95,cergy,CERGY,cergy,Cergy,C620,SRJ,95000-95800,127,95127,3,96,5,56988,54816,56100,4891,11.65,2.06667,49.0333,-305,54484,20345,490209,21,121
36029,95,chennevieres-les-louvres,CHENNEVIERES-LES-LOUVRES,chennevieres les louvres,Chennevières-lès-Louvres,C5162424162,XNFRSLSLFRS,95380,154,95154,2,13,6,344,218,300,75,4.58,2.55,49.05,238,54494,23303,490241,81,124
36030,95,montlignon,MONTLIGNON,montlignon,Montlignon,M3425,MNTLKNN,95680,426,95426,3,20,6,2561,2426,2500,901,2.84,2.28333,49.0167,-59,54455,21701,490035,62,185
36031,95,fontenay-en-parisis,FONTENAY-EN-PARISIS,fontenay en parisis,Fontenay-en-Parisis,F535162,FNTNNPRSS,95190,241,95241,2,15,6,1912,1707,2000,176,10.84,2.45,49.05,127,54503,22701,490310,77,138
36032,95,ezanville,EZANVILLE,ezanville,Ézanville,E2514,ESNFL,95460,229,95229,2,8,6,8979,8788,9100,1730,5.19,2.36667,49.0333,27,54475,22139,490140,72,118
36033,95,neuville-sur-oise,NEUVILLE-SUR-OISE,neuville sur oise,Neuville-sur-Oise,N14262,NFLSRS,95000,450,95450,3,39,6,2014,1433,1600,473,4.25,2.06667,49.0167,-308,54461,20333,490054,19,54
36034,95,sagy-95,SAGY,sagy,Sagy,S000,SJ,95450,535,95535,3,27,6,1160,1127,1200,110,10.53,1.95,49.05,-427,54500,15707,490301,42,130
36035,95,themericourt,THEMERICOURT,themericourt,Théméricourt,T56263,0MRKRT,95450,610,95610,3,27,6,264,229,300,34,7.58,1.9,49.0833,-489,54541,15347,490511,70,137
36036,95,butry-sur-oise,BUTRY-SUR-OISE,butry sur oise,Butry-sur-Oise,B36262,BTRSRS,95430,120,95120,3,34,6,2026,1970,2000,779,2.6,2.2,49.0833,-153,54540,21154,490510,22,96
36037,95,plessis-luzarches,LE PLESSIS-LUZARCHES,le plessis luzarches,Le Plessis-Luzarches,L1424262,LPLSSLSRXS,95270,493,95493,2,15,6,131,140,100,145,0.9,2.45,49.1,131,54551,22717,490546,56,101
36038,95,jouy-le-moutier,JOUY-LE-MOUTIER,jouy le moutier,Jouy-le-Moutier,J4536,JLMTR,95280,323,95323,3,39,5,16589,17788,16700,2407,6.89,2.03333,49.0167,-331,54457,20219,490039,21,175
36039,95,mareil-en-france,MAREIL-EN-FRANCE,mareil en france,Mareil-en-France,M6451652,MRLNFRNS,95850,365,95365,2,15,6,694,498,600,99,7.0,2.43333,49.0667,99,54522,22533,490411,109,186
36040,95,breancon,BREANCON,breancon,Bréançon,B6525,BRNKN,95640,102,95102,3,17,6,371,332,400,34,10.61,2.01667,49.15,-350,54603,20117,490833,79,203
36041,95,chaussy-95,CHAUSSY,chaussy,Chaussy,C000,XS,95710,150,95150,3,16,6,633,602,600,43,14.56,1.68333,49.1167,-716,54580,14130,490718,45,202
36042,95,vallangoujard,VALLANGOUJARD,vallangoujard,Vallangoujard,V45263,FLNKJRT,95810,627,95627,3,34,6,634,634,700,83,7.6,2.11667,49.1333,-250,54600,20643,490823,46,126
36043,95,magny-en-vexin,MAGNY-EN-VEXIN,magny en vexin,Magny-en-Vexin,M25125,MKNNFKSN,95420,355,95355,3,16,5,5752,5657,5600,410,14.02,1.78333,49.15,-611,54616,14712,490916,63,149
